stt,tinh,quan_huyen,xa_phuong,duong_pho,kc_duong_chinh,min_dorong_ngo,dien_tich,mat_tien,so_mattien,thoi_diem_hieu_luc,district,ward,REF_TINH_CODE,REF_HUYEN_CODE,REF_XA_CODE,don_gia1
19026,Thành phố Hà Nội,Quận Hoàng Mai,Phường Đại Kim,Đại Từ,200,3.7,55,4,1,2021-09-25 00:00:00,hoàng mai,hòang mai_đại kim,148873,150379,195345,0.087272727
19027,Thành phố Hà Nội,Quận Hoàng Mai,Phường Đại Kim,Đại Từ,90,5,45,4.5,1,2021-09-25 00:00:00,hoàng mai,hòang mai_đại kim,148873,150379,195345,0.088888889
19028,Thành phố Hà Nội,Quận Hoàng Mai,Phường Đại Kim,Đại Từ,50,3.7,129.4,7.5,1,2021-09-25 00:00:00,hoàng mai,hòang mai_đại kim,148873,150379,195345,0.08006532
19042,Thành phố Hà Nội,Huyện Thạch Thất,Xã Canh Nậu,Đường liên thôn,0,3.4,100,5,1,2021-09-27 00:00:00,thạch thất,thạch thất_canh nậu,148873,152286,152353,0.03
19043,Thành phố Hà Nội,Huyện Thạch Thất,Xã Canh Nậu,Đường liên thôn,0,3.4,100,5,1,2021-09-27 00:00:00,thạch thất,thạch thất_canh nậu,148873,152286,152353,0.03
19044,Thành phố Hà Nội,Huyện Thạch Thất,Xã Canh Nậu,Đường liên thôn,0,3.4,100,5,1,2021-09-27 00:00:00,thạch thất,thạch thất_canh nậu,148873,152286,152353,0.03
19051,Thành phố Hà Nội,Huyện Quốc Oai,Xã Cấn Hữu,Tỉnh lộ 421B,300,5,100,10,1,2021-09-30 00:00:00,quốc oai,quốc oai_cấn hữu,148873,152080,152151,0.0126
19052,Thành phố Hà Nội,Huyện Quốc Oai,Xã Cấn Hữu,Tỉnh lộ 421B,260,5,200,13.84,2,2021-09-30 00:00:00,quốc oai,quốc oai_cấn hữu,148873,152080,152151,0.010357333
19054,Thành phố Hà Nội,Huyện Thạch Thất,Xã Phùng Xá,Đường Cổng Nùi,50,7,100,5,1,2021-10-01 00:00:00,thạch thất,thạch thất_phùng xá,148873,152286,152359,0.048333333
19059,Thành phố Hà Nội,Huyện Thạch Thất,Xã Cần Kiệm,Đường liên xã,200,4.1,200,10,2,2021-10-01 00:00:00,thạch thất,thạch thất_cần kiệm,148873,152286,152363,0.015
19060,Thành phố Hà Nội,Huyện Thạch Thất,Xã Cần Kiệm,Đường liên xã,200,4.1,210,10,2,2021-10-01 00:00:00,thạch thất,thạch thất_cần kiệm,148873,152286,152363,0.015
19065,Thành phố Hà Nội,Huyện Thường Tín,Xã Vạn Điểm,Quốc lộ 1A,400,3.5,160,4,1,2021-09-29 00:00:00,thường tín,thường tín_vạn điểm,148873,152587,152661,0.014375
19066,Thành phố Hà Nội,Huyện Thường Tín,Xã Vạn Điểm,Quốc lộ 1A,380,5.5,109,4.8,1,2021-09-29 00:00:00,thường tín,thường tín_vạn điểm,148873,152587,152661,0.014512694
19073,Thành phố Hà Nội,Huyện Quốc Oai,Xã Cấn Hữu,Đường Cấn Hữu,220,8,190,10,1,2021-10-01 00:00:00,quốc oai,quốc oai_cấn hữu,148873,152080,152151,0.026315789
19074,Thành phố Hà Nội,Huyện Quốc Oai,Xã Cấn Hữu,Đường Cấn Hữu,230,8,190,8,2,2021-10-01 00:00:00,quốc oai,quốc oai_cấn hữu,148873,152080,152151,0.026315789
19075,Thành phố Hà Nội,Huyện Quốc Oai,Xã Cấn Hữu,Đường Cấn Hữu,200,8,171.6,7.09,1,2021-10-01 00:00:00,quốc oai,quốc oai_cấn hữu,148873,152080,152151,0.025154321
19131,Thành phố Hà Nội,Huyện Đông Anh,Xã Mai Lâm,Đường Quốc lộ 3,1000,3.2,68.9,5.32,1,2021-09-28 00:00:00,đông anh,đông anh_mai lâm,148873,151363,151448,0.033381713
19132,Thành phố Hà Nội,Huyện Đông Anh,Xã Mai Lâm,Đường Quốc lộ 3,1050,4,71,4.1,1,2021-09-28 00:00:00,đông anh,đông anh_mai lâm,148873,151363,151448,0.033802817
19133,Thành phố Hà Nội,Huyện Đông Anh,Xã Mai Lâm,Đường Quốc lộ 3,1100,3.7,65.50000001,3.75,1,2021-09-28 00:00:00,đông anh,đông anh_mai lâm,148873,151363,151448,0.033565195
19142,Thành phố Hà Nội,Huyện Đan Phượng,Xã Tân Hội,Đường Phan Xích,75,2.2,146.2,6.24,2,2021-09-30 00:00:00,đan phượng,đan phượng_tân hội,148873,151297,151347,0.024385385
19158,Thành phố Hà Nội,Huyện Thường Tín,Xã Văn Tự,Quốc lộ 1A,200,2.5,110,5,1,2021-10-04 00:00:00,thường tín,thường tín_văn tự,148873,152587,152673,0.0076
19159,Thành phố Hà Nội,Huyện Thường Tín,Xã Văn Tự,Quốc lộ 1A,200,2,108.9999999,4.5,1,2021-10-04 00:00:00,thường tín,thường tín_văn tự,148873,152587,152673,0.006642202
19160,Thành phố Hà Nội,Huyện Thường Tín,Xã Văn Tự,Quốc lộ 1A,100,1.8,144,12.57,1,2021-10-04 00:00:00,thường tín,thường tín_văn tự,148873,152587,152673,0.007083401
19180,Thành phố Hà Nội,Huyện Gia Lâm,Xã Dương Quang,Đường Dương Quang,500,3,65,5,1,2021-09-29 00:00:00,gia lâm,gia lâm_dương quang,148873,151480,151578,0.020769231
19181,Thành phố Hà Nội,Huyện Gia Lâm,Xã Dương Quang,Đường Dương Quang,600,2.5,55,4,1,2021-09-29 00:00:00,gia lâm,gia lâm_dương quang,148873,151480,151578,0.017272727
19182,Thành phố Hà Nội,Huyện Gia Lâm,Xã Dương Quang,Đường Dương Quang,530,2.5,57.5,6.21,1,2021-09-29 00:00:00,gia lâm,gia lâm_dương quang,148873,151480,151578,0.018104662
19198,Thành phố Hà Nội,Huyện Thạch Thất,Xã Dị Nậu,Đường liên thôn,0,3.2,100,5,1,2021-09-29 00:00:00,thạch thất,thạch thất_dị nậu,148873,152286,152349,0.018
19199,Thành phố Hà Nội,Huyện Thạch Thất,Xã Dị Nậu,Đường liên thôn,0,3.2,100,5,1,2021-09-29 00:00:00,thạch thất,thạch thất_dị nậu,148873,152286,152349,0.017
19200,Thành phố Hà Nội,Huyện Thạch Thất,Xã Dị Nậu,Đường liên thôn,40,3.2,123,12.2,1,2021-09-29 00:00:00,thạch thất,thạch thất_dị nậu,148873,152286,152349,0.017333333
19238,Thành phố Hà Nội,Quận Hoàng Mai,Phường Tân Mai,Tân Mai,370,3.6,40,3.24,1,2021-09-30 00:00:00,hoàng mai,hòang mai_tân mai,148873,150379,195346,0.081855081
19253,Thành phố Hà Nội,Huyện Gia Lâm,Xã Dương Xá,Đường Kiêu Kỵ,500,40,135,5,2,2021-09-30 00:00:00,gia lâm,gia lâm_dương xá,148873,151480,151556,0.150090903
19254,Thành phố Hà Nội,Huyện Gia Lâm,Xã Dương Xá,Đường Kiêu Kỵ,500,40,67.5,5,1,2021-09-30 00:00:00,gia lâm,gia lâm_dương xá,148873,151480,151556,0.165463229
19284,Thành phố Hà Nội,Huyện Thạch Thất,Xã Canh Nậu,Đường liên thôn,0,7,100,5.5,2,2021-09-28 00:00:00,thạch thất,thạch thất_canh nậu,148873,152286,152353,0.046
19285,Thành phố Hà Nội,Huyện Thạch Thất,Xã Canh Nậu,Đường liên thôn,0,7,90,5,2,2021-09-28 00:00:00,thạch thất,thạch thất_canh nậu,148873,152286,152353,0.047777778
19286,Thành phố Hà Nội,Huyện Thạch Thất,Xã Canh Nậu,Đường liên thôn,0,7,100,5,2,2021-09-28 00:00:00,thạch thất,thạch thất_canh nậu,148873,152286,152353,0.046
19287,Thành phố Hà Nội,Huyện Thạch Thất,Xã Canh Nậu,Đường liên thôn,0,7,77.5,5.3,2,2021-09-28 00:00:00,thạch thất,thạch thất_canh nậu,148873,152286,152353,0.045035556
19298,Thành phố Hà Nội,Huyện Đan Phượng,Xã Liên Trung,Đê Liên Trung,50,3,100,6.9,1,2021-09-28 00:00:00,đan phượng,đan phượng_liên trung,148873,151297,195423,0.0279
19299,Thành phố Hà Nội,Huyện Đan Phượng,Xã Liên Trung,Đê Liên Trung,300,3.9,173.5,8.8,1,2021-09-28 00:00:00,đan phượng,đan phượng_liên trung,148873,151297,195423,0.028513667
19307,Thành phố Hà Nội,Quận Hai Bà Trưng,Phường Bạch Đằng,Nguyễn Khoái (ngoài đê),180,3.5,45.6,4,1,2021-10-07 00:00:00,hai bà trưng,hai bà trưng_bạch đằng,148873,149556,195321,0.097613891
19308,Thành phố Hà Nội,Huyện Phúc Thọ,Xã Tam Hiệp,Tam Hiệp,100,2.1,120,6,1,2021-10-04 00:00:00,phúc thọ,phúc thọ_tam hiệp,148873,151998,152056,0.021
19309,Thành phố Hà Nội,Huyện Phúc Thọ,Xã Tam Hiệp,Tam Hiệp,150,2.3,127,2.7,1,2021-10-04 00:00:00,phúc thọ,phúc thọ_tam hiệp,148873,151998,152056,0.016833636
19320,Thành phố Hà Nội,Huyện Quốc Oai,Xã Đại Thành,Đường Đại Thành,250,2.5,74.99999998,5,1,2021-10-07 00:00:00,quốc oai,quốc oai_đại thành,148873,152080,152163,0.010266667
19324,Thành phố Hà Nội,Huyện Thạch Thất,Xã Dị Nậu,Đường liên thôn,120,2.4,60,5,1,2021-09-27 00:00:00,thạch thất,thạch thất_dị nậu,148873,152286,152349,0.010666667
19377,Thành phố Hà Nội,Huyện Sóc Sơn,Xã Bắc Sơn,Đất ở khu dân cư nông thôn (Xã Bắc Sơn),0,9,200,10,1,2021-09-27 00:00:00,sóc sơn,sóc sơn_bắc sơn,148873,152186,152278,0.015
19383,Thành phố Hà Nội,Huyện Gia Lâm,Xã Kim Lan,Trục đường liên thôn,100,6,50.5,4.1,1,2021-10-06 00:00:00,gia lâm,gia lâm_kim lan,148873,151480,151584,0.032
19384,Thành phố Hà Nội,Huyện Gia Lâm,Xã Kim Lan,Trục đường liên thôn,30,6,66,6,1,2021-10-06 00:00:00,gia lâm,gia lâm_kim lan,148873,151480,151584,0.040530303
